pair_key,clip_text_prompt
Straight back arms move as if marching to a lesser degree|||Backwards Running,A person runs backwards with a straight back and arms moving in a gentle marching manner.
Straight back arms move as if marching to a lesser degree|||Backwards Walking,A person walks backwards with a straight back and arms swinging in a marching motion.
Straight back arms move as if marching to a lesser degree|||Forwards Running,A person runs forward with a straight back and arms swinging in a marching-like motion.
Straight back arms move as if marching to a lesser degree|||Forwards Walking,A person walks forward with a straight back and arms moving in a subdued marching motion.
Straight back arms move as if marching to a lesser degree|||Idling,A person idles with a straight back and arms moving slightly in a marching manner.
Straight back arms move as if marching to a lesser degree|||Sidestep Running,A person sidestep runs with a straight back and arms moving in a subdued marching motion.
Straight back arms move as if marching to a lesser degree|||Sidestep Walking,A person sidesteps with a straight back and arms swinging in a subdued marching manner.
Straight back arms move as if marching to a lesser degree|||Transition 1,A person transitions with a straight back and arms swinging mildly in a marching motion.
Stumbling around at random. Various foot step sizes and arm motions|||Backwards Running,A person stumbles erratically while running backwards with varied arm motions.
Stumbling around at random. Various foot step sizes and arm motions|||Backwards Walking,A person stumbles backwards with random arm motions.
Stumbling around at random. Various foot step sizes and arm motions|||Forwards Running,A person runs forward while stumbling randomly with varied arm motions and step sizes.
Stumbling around at random. Various foot step sizes and arm motions|||Forwards Walking,A person stumbles forwards with random arm motions and uneven steps.
Stumbling around at random. Various foot step sizes and arm motions|||Idling,A person idles with their lower body while their upper body stumbles randomly with various arm motions.
Stumbling around at random. Various foot step sizes and arm motions|||Sidestep Running,"A person stumbles randomly while sidestep running, with varied arm motions and footstep sizes."
Stumbling around at random. Various foot step sizes and arm motions|||Sidestep Walking,"A person sidesteps while stumbling randomly, with varied arm motions and step sizes."
Stumbling around at random. Various foot step sizes and arm motions|||Transition 1,A person stumbles randomly with varied step sizes and arm motions while transitioning.
Sweeping with a broom while moving|||Backwards Running,A person runs backwards while sweeping with a broom.
Sweeping with a broom while moving|||Backwards Walking,A person walks backwards while sweeping with a broom.
Sweeping with a broom while moving|||Forwards Running,A person runs forward while sweeping with a broom.
Sweeping with a broom while moving|||Forwards Walking,A person walks forward while sweeping with a broom.
Sweeping with a broom while moving|||Idling,A person stands idle while sweeping with a broom.
Sweeping with a broom while moving|||Sidestep Running,A person sweeps with a broom while sidestepping and running.
Sweeping with a broom while moving|||Sidestep Walking,A person sweeps with a broom while sidestepping.
Sweeping with a broom while moving|||Transition 1,A person sweeps with a broom while transitioning.
Swing arms much more than normal almost punching into the air|||Backwards Running,"A person runs backwards while swinging their arms much more than normal, almost punching into the air."
Swing arms much more than normal almost punching into the air|||Backwards Walking,"A person walks backwards while swinging arms much more than normal, almost punching into the air."
Swing arms much more than normal almost punching into the air|||Forwards Running,"A person runs forwards while swinging their arms excessively, almost punching into the air."
Swing arms much more than normal almost punching into the air|||Forwards Walking,"A person walks forward while swinging their arms vigorously, almost punching the air."
Swing arms much more than normal almost punching into the air|||Idling,"Human motion of idling with arms swinging vigorously, almost punching the air."
Swing arms much more than normal almost punching into the air|||Sidestep Running,"A person runs with sidesteps while swinging their arms excessively, almost punching into the air."
Swing arms much more than normal almost punching into the air|||Sidestep Walking,"A person sidesteps while walking with exaggerated arm swings, almost punching into the air."
Swing arms much more than normal almost punching into the air|||Transition 1,Human motion of swinging arms vigorously while transitioning between movements.
Swing arms round body (right in front left at back then switch)|||Backwards Running,"A person runs backwards while swinging their arms around their body, alternating right and left."
Swing arms round body (right in front left at back then switch)|||Backwards Walking,"A person walks backwards while swinging their arms around the body, alternating right in front and left at back."
Swing arms round body (right in front left at back then switch)|||Forwards Running,"A person runs forwards, swinging arms around the body with right in front and left at back, then switching."
Swing arms round body (right in front left at back then switch)|||Forwards Walking,Human motion of swinging arms around the body while walking forwards.
Swing arms round body (right in front left at back then switch)|||Idling,Human motion of swinging arms around the body while idling in place.
Swing arms round body (right in front left at back then switch)|||Sidestep Running,"A person sidestep runs while swinging arms around the body, with right in front and left at back then switching."
Swing arms round body (right in front left at back then switch)|||Sidestep Walking,"A person sidesteps while swinging their arms around their body, alternating right in front and left at back."
Swing arms round body (right in front left at back then switch)|||Transition 1,A person swings arms round the body alternating right and left during a lower body transition.
Swing arms with spring|||Backwards Running,A person runs backwards while swinging their arms with a springy motion.
Swing arms with spring|||Backwards Walking,A person walks backwards with springy arm swings.
Swing arms with spring|||Forwards Running,A person runs forwards while swinging their arms with a springy motion.
Swing arms with spring|||Forwards Walking,A person walks forwards while swinging their arms with a springy motion.
Swing arms with spring|||Idling,A person idles while swinging their arms with a spring.
Swing arms with spring|||Sidestep Running,A person performs sidestep running while swinging arms with a spring.
Swing arms with spring|||Sidestep Walking,A person sidesteps while swinging their arms with a springy motion.
Swing arms with spring|||Transition 1,A person swings their arms with springy motion while transitioning with their lower body.
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Backwards Running,A person runs backwards while swinging their hands side to side as if waving hankies.
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Backwards Walking,"A person walks backwards with bouncy, skipping steps, swinging hands side to side like waving hankies."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Forwards Running,"Human motion of swinging hands side to side while running forward with bouncy, skipping footsteps."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Forwards Walking,"A person walks forwards with bouncy, skipping steps while swinging hands side to side as if waving hankies."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Idling,"Human motion of swinging hands side to side with bouncy, skipping footsteps while idling."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Sidestep Running,"A person sidestep runs with bouncy steps, swinging hands side to side as if waving hankies."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Sidestep Walking,"Human motion of sidestepping while swinging hands side to side with bouncy, skipping footsteps."
Swing hands side to side as if waving hankies. Bouncy/skipping footsteps|||Transition 1,"A person swings hands side to side as if waving hankies while skipping with bouncy, transitional steps."
Swing lower arms aggressively - fists closed|||Backwards Running,"A person runs backwards, aggressively swinging their lower arms with fists closed."
Swing lower arms aggressively - fists closed|||Backwards Walking,A person walks backwards while aggressively swinging their lower arms with fists closed.
Swing lower arms aggressively - fists closed|||Forwards Running,Human motion of swinging lower arms aggressively with fists closed while running forwards.
Swing lower arms aggressively - fists closed|||Forwards Walking,A person walks forward while swinging their lower arms aggressively with fists closed.
Swing lower arms aggressively - fists closed|||Idling,A person swings their lower arms aggressively with fists closed while idling.
Swing lower arms aggressively - fists closed|||Sidestep Running,"A person runs with sidesteps, aggressively swinging their lower arms with fists closed."
Swing lower arms aggressively - fists closed|||Sidestep Walking,A person sidesteps while swinging their lower arms aggressively with fists closed.
Swing lower arms aggressively - fists closed|||Transition 1,A person aggressively swings their lower arms with fists closed while transitioning their lower body.
Tilt head to look at ceiling|||Backwards Running,A person runs backwards while tilting their head to look at the ceiling.
Tilt head to look at ceiling|||Backwards Walking,A person walks backwards while tilting their head to look at the ceiling.
Tilt head to look at ceiling|||Forwards Running,"A person runs forward, tilting their head to look at the ceiling."
Tilt head to look at ceiling|||Forwards Walking,A person walks forward while tilting their head to look at the ceiling.
Tilt head to look at ceiling|||Idling,Human motion of tilting the head to look at the ceiling while idling.
Tilt head to look at ceiling|||Sidestep Running,"A person runs with sidesteps, tilting their head to look at the ceiling."
Tilt head to look at ceiling|||Sidestep Walking,A person tilts their head to look at the ceiling while sidestepping.
Tilt head to look at ceiling|||Transition 1,A person tilts their head to look at the ceiling while their lower body transitions.
Tilt torso forwards|||Backwards Running,A person tilts their torso forwards while running backwards.
Tilt torso forwards|||Backwards Walking,A person tilts their torso forward while walking backwards.
Tilt torso forwards|||Forwards Running,Human motion of tilting the torso forwards while running.
Tilt torso forwards|||Forwards Walking,A person walks forward while tilting their torso forward.
Tilt torso forwards|||Idling,A person tilts their torso forward while their lower body remains idle.
Tilt torso forwards|||Sidestep Running,Human motion of tilting the torso forward while sidestep running.
Tilt torso forwards|||Sidestep Walking,A person tilts their torso forwards and sidesteps.
Tilt torso forwards|||Transition 1,Human motion of tilting the torso forward while transitioning the lower body.
Toes pointing inwards|||Backwards Running,A person runs backwards with toes pointing inwards.
Toes pointing inwards|||Backwards Walking,A person walks backwards with toes pointing inwards.
Toes pointing inwards|||Forwards Running,A person runs forward with toes pointing inwards.
Toes pointing inwards|||Forwards Walking,A person walks forwards with toes pointing inwards.
Toes pointing inwards|||Idling,A person stands idly with toes pointing inwards.
Toes pointing inwards|||Sidestep Running,A person sidestep runs with toes pointing inwards.
Toes pointing inwards|||Sidestep Walking,A person sidesteps with toes pointing inwards.
Toes pointing inwards|||Transition 1,A person transitions with toes pointed inwards.
Toes turned inwards|||Backwards Running,A person runs backwards with toes turned inwards.
Toes turned inwards|||Backwards Walking,A person walks backwards with their toes turned inwards.
Toes turned inwards|||Forwards Running,A person runs forwards with toes turned inwards.
Toes turned inwards|||Forwards Walking,A person walks forwards with toes turned inwards.
Toes turned inwards|||Idling,A person idles with toes turned inwards.
Toes turned inwards|||Sidestep Running,A person runs with a sidestep while keeping their toes turned inwards.
Toes turned inwards|||Sidestep Walking,A person sidesteps with toes turned inwards.
Toes turned inwards|||Transition 1,A person transitions with toes turned inwards.
Use hands as paws - step opposite hand and foot|||Backwards Running,A person runs backwards while using hands as paws and stepping opposite hand and foot.
Use hands as paws - step opposite hand and foot|||Backwards Walking,"A person walks backwards with hands as paws, stepping opposite hand and foot."
Use hands as paws - step opposite hand and foot|||Forwards Running,"Human motion of running forward while stepping with opposite hand and foot, using hands as paws."
Use hands as paws - step opposite hand and foot|||Forwards Walking,"A person walks forwards on all fours, using hands as paws and stepping with opposite hand and foot."
Use hands as paws - step opposite hand and foot|||Idling,"A person idles with hands as paws, stepping opposite hand and foot."
Use hands as paws - step opposite hand and foot|||Sidestep Running,"A person sidestep runs with hands as paws, stepping opposite hand and foot."
Use hands as paws - step opposite hand and foot|||Sidestep Walking,"A person sidesteps while using hands as paws, stepping with opposite hand and foot."
Use hands as paws - step opposite hand and foot|||Transition 1,"A person crawls with hands as paws, stepping opposite hand and foot in transition."
Waddle with feet close together|||Backwards Running,A person runs backwards while waddling with feet close together.
Waddle with feet close together|||Backwards Walking,A person waddles backwards with feet close together.
Waddle with feet close together|||Forwards Running,"A person runs forwards with a waddling style, keeping feet close together."
Waddle with feet close together|||Forwards Walking,A person waddles forward with feet close together.
Waddle with feet close together|||Idling,A person idles with a waddling upper body and feet close together.
Waddle with feet close together|||Sidestep Running,A person waddles with feet close together while sidestepping and running.
Waddle with feet close together|||Sidestep Walking,A person waddles sideways with feet close together.
Waddle with feet close together|||Transition 1,A person waddles with feet close together during Transition 1.
Walk on heels with toes raised|||Backwards Running,A person runs backwards while walking on heels with toes raised.
Walk on heels with toes raised|||Backwards Walking,A person walks backwards on their heels with toes raised.
Walk on heels with toes raised|||Forwards Running,A person runs forward while walking on heels with toes raised.
Walk on heels with toes raised|||Forwards Walking,A person walks forwards on their heels with toes raised.
Walk on heels with toes raised|||Idling,Human motion of walking on heels with toes raised while idling the lower body.
Walk on heels with toes raised|||Sidestep Running,A person sidestep runs while walking on their heels with toes raised.
Walk on heels with toes raised|||Sidestep Walking,Human motion of walking on heels with toes raised while sidestepping.
Walk on heels with toes raised|||Transition 1,A person transitions by walking on their heels with toes raised.
Walk on toes with heels raised|||Backwards Running,A person runs backwards while walking on their toes with heels raised.
Walk on toes with heels raised|||Backwards Walking,A person walks backwards on their toes with heels raised.
Walk on toes with heels raised|||Forwards Running,Human motion of running forward while walking on tiptoes with raised heels.
Walk on toes with heels raised|||Forwards Walking,A person walks forward on their toes with heels raised.
Walk on toes with heels raised|||Idling,A person idles in a walk-on-toes posture with heels raised.
Walk on toes with heels raised|||Sidestep Running,A person sidestep runs on their toes with heels raised.
Walk on toes with heels raised|||Sidestep Walking,A person walks on their toes while sidestepping with raised heels.
Walk on toes with heels raised|||Transition 1,A person transitions while walking on toes with heels raised.
Walk with a stick – used broom handle|||Backwards Running,Human motion of walking with a stick while running backwards.
Walk with a stick – used broom handle|||Backwards Walking,A person walks backwards while using a broom handle as a walking stick.
Walk with a stick – used broom handle|||Forwards Running,A person runs forwards while using a broom handle as a stick.
Walk with a stick – used broom handle|||Forwards Walking,A person walks forward using a broom handle as a walking stick.
Walk with a stick – used broom handle|||Idling,A person uses a broom handle as a walking stick while idling with their lower body.
Walk with a stick – used broom handle|||Sidestep Running,A person sidestep runs while using a broom handle as a walking stick.
Walk with a stick – used broom handle|||Sidestep Walking,A person sidesteps while using a broom handle as a walking stick.
Walk with a stick – used broom handle|||Transition 1,A person walks with a broom handle stick while transitioning their lower body.
Walking as a muscle man tensed biceps|||Backwards Running,"A person runs backwards, adopting a muscle man's walking posture with tensed biceps."
Walking as a muscle man tensed biceps|||Backwards Walking,"A person walks backwards while tensing their biceps, resembling a muscle man."
Walking as a muscle man tensed biceps|||Forwards Running,"A person runs forward with the upper body posture of a muscle man walking, biceps tensed."
Walking as a muscle man tensed biceps|||Forwards Walking,"A person walks forward with tensed biceps, emulating a muscle man."
Walking as a muscle man tensed biceps|||Idling,A person idles with tensed biceps in a muscle man's walking posture.
Walking as a muscle man tensed biceps|||Sidestep Running,Human motion of a muscle man with tensed biceps sidestep running.
Walking as a muscle man tensed biceps|||Sidestep Walking,A person sidesteps with tensed biceps like a muscle man.
Walking as a muscle man tensed biceps|||Transition 1,Human motion of walking with tensed biceps and a transition in the lower body.
Waving at somebody else at random|||Backwards Running,A person waves randomly at someone while running backwards.
Waving at somebody else at random|||Backwards Walking,A person waves randomly at someone else while walking backwards.
Waving at somebody else at random|||Forwards Running,A person runs forward while waving randomly at someone else.
Waving at somebody else at random|||Forwards Walking,A person walks forward while waving randomly at someone else.
Waving at somebody else at random|||Idling,Human motion of waving randomly while idling in place.
Waving at somebody else at random|||Sidestep Running,Human motion of waving at someone while sidestep running.
Waving at somebody else at random|||Sidestep Walking,A person waves randomly at someone else while sidestepping.
Waving at somebody else at random|||Transition 1,A person waves randomly at somebody else while transitioning.
Wide arms and legs. Arms slightly below horizontal|||Backwards Running,"A person runs backwards with wide arms and legs, arms slightly below horizontal."
Wide arms and legs. Arms slightly below horizontal|||Backwards Walking,A person walks backwards with arms held wide and slightly below horizontal.
Wide arms and legs. Arms slightly below horizontal|||Forwards Running,Human motion of running forward with arms extended wide and slightly below horizontal.
Wide arms and legs. Arms slightly below horizontal|||Forwards Walking,"A person walks forward with arms and legs wide, arms slightly below horizontal."
Wide arms and legs. Arms slightly below horizontal|||Idling,A person idles in a wide stance with arms slightly below horizontal.
Wide arms and legs. Arms slightly below horizontal|||Sidestep Running,"A person runs sideways with wide arms and legs, arms held slightly below horizontal."
Wide arms and legs. Arms slightly below horizontal|||Sidestep Walking,"A person sidesteps with arms and legs wide, holding arms slightly below horizontal."
Wide arms and legs. Arms slightly below horizontal|||Transition 1,"A person transitions with wide arms and legs, arms slightly below horizontal."
Wide step bend knee every step in lunge position|||Backwards Running,Human motion of backwards running with wide lunging steps and bent knees.
Wide step bend knee every step in lunge position|||Backwards Walking,"A person walks backwards with wide, lunging steps, bending the knees each time."
Wide step bend knee every step in lunge position|||Forwards Running,"A person runs forward with wide steps, bending their knees into a lunge position on each stride."
Wide step bend knee every step in lunge position|||Forwards Walking,"A person walks forward with wide, lunging steps, bending the knees each time."
Wide step bend knee every step in lunge position|||Idling,A person maintains a wide-step lunge with bent knees while idling.
Wide step bend knee every step in lunge position|||Sidestep Running,"A person runs sidestepping with wide steps, bending knees into a lunge position."
Wide step bend knee every step in lunge position|||Sidestep Walking,"A person sidesteps with wide, knee-bent lunges."
Wide step bend knee every step in lunge position|||Transition 1,A person takes wide steps with knees bent in a lunge position during a transition.
Windmill arms|||Backwards Running,A person runs backwards while swinging their arms in a windmill motion.
Windmill arms|||Backwards Walking,A person walks backwards while swinging their arms in a windmill motion.
Windmill arms|||Forwards Running,Human motion of running forward while swinging arms in a windmill pattern.
Windmill arms|||Forwards Walking,A person walks forward while swinging their arms in a windmill motion.
Windmill arms|||Idling,A person idles while swinging their arms in a windmill motion.
Windmill arms|||Sidestep Running,A person windmills their arms while sidestepping and running.
Windmill arms|||Sidestep Walking,A person sidesteps while swinging their arms in a windmill motion.
Windmill arms|||Transition 1,A person swings arms in a windmill motion while transitioning with a step.
Windmill arms|||Transition 2,A person swings their arms in windmill circles while transitioning with their lower body.
With swagger leant slightly back arms swinging freely|||Backwards Running,"A person runs backwards with a swagger, leaning slightly back and swinging arms freely."
With swagger leant slightly back arms swinging freely|||Backwards Walking,"A person walks backwards with a swagger, leaning slightly back and swinging their arms freely."
With swagger leant slightly back arms swinging freely|||Forwards Running,"A person runs forward with a swagger, leaning slightly back and swinging their arms freely."
With swagger leant slightly back arms swinging freely|||Forwards Walking,"A person walks forward with a confident swagger, leaning back slightly and swinging their arms freely."
With swagger leant slightly back arms swinging freely|||Idling,A person idles with a slight backward lean and arms swinging freely.
With swagger leant slightly back arms swinging freely|||Sidestep Running,"A person sidestep runs with a swagger, leaning back slightly and swinging their arms freely."
With swagger leant slightly back arms swinging freely|||Sidestep Walking,"A person sidesteps with a swagger, leaning back and swinging arms freely."
With swagger leant slightly back arms swinging freely|||Transition 1,"A person transitions with a swagger, leaning slightly back and arms swinging freely."
